name,interests
Thomas Bornschl?gl,
Xiaokang Zhang,natural language processing
Inge Jonassen,"bioinformatics, computational biology, genomics, protein bioinformatics, machine learning"
Xiao Chen,
Zhi-Gang Jia,fail
Yufeng Cai,
Stepan Holub,"combinatorics on words, formalization of mathematics"
Moti Freiman,"Medical Imaging, Medical Image Analysis, Quantitative Imaging"
Hannes Nickisch,"Medical Image Processing, Probabilistic Pattern Recognition, Machine Learning, Biophysical Simulations, Patient-Specific Models"
Holger Schmidt,"Optofluidics, Single molecule detection, Nanopore sensors, Slow light, Nano-magneto-optics"
P®¢l Maurovich-Horvat,"Cardiology, Cardiac Imaging, Radiology"
Patrick J Donnelly,Music °… Machine Learning
Mani Vembar,fail
Liran Goshen,fail
Sandro Stucki,"Programming Languages, Types, Formal Methods, Domain-Specific Languages, Formal Biology"
Cesar Cabezas Sanchez,"Dengue, malaria, chikungunya, hepatitis virales, colera. Salud P®≤blica. Control de Enfermedades-Transmisibles"
Gerry Schneider,
"Tamara Radivilova, ß¥ß—ßﬁß—ß‚ß— ß≤ß—ß’?ß”?ß›ß‡ß”ß—, ß¥ß—ßﬁß—ß‚ß— ß≤ß—ß’ß⁄ß”ß⁄ß›ß‡ß”ß—","Information security, Telecommunication, Cybersecurity, Fractals flow"
Lyudmyla Kirichenko,"Fractal time series, machine learning classification of time series"
Dmytro Ageiev,fail
"Vitalii Bulakh, ß¢ßÂß›ß—ßÁ ß£?ß‰ß—ß›?ß€ ß°ßﬂß—ß‰ß‡ß›?ß€ß‡ß”ß⁄ßÈ, ß¢ßÂß›ß—ßÁ ß£ß⁄ß‰ß—ß›ß⁄ß€ ß°ßﬂß—ß‰ß‡ß›ßÓß÷ß”ß⁄ßÈ","ßÆß—ßÍß⁄ßﬂßﬂß‡ß÷ ß‡ß“ßÂßÈß÷ßﬂß⁄ß÷, ßÊß‚ß—ß‹ß‰ß—ß›ßÓßﬂßÌß÷ ß·ß‚ß‡ßËß÷ß„ß„ßÌ"
Scott D. Stoller,"computer security, cyber-physical systems, distributed systems, programming languages"
Peter Pietzuch,"Distributed Systems, Systems, Data Management"
Ines Rieger,
Thomas Hauenstein,fail
Sebastian Hettenkofer,fail
Jens-Uwe Garbas,fail
Roman Chertovskih,"Dynamo theory, numerical optimal control, numerical methods for differential equations, HPC"
Nathalie T. Khalil,fail
Fernando Lobo Pereira,"Controlo, Optimiza??o, Sistemas Aut®Ænomos"
Jan Laermann,"Explainability, Robustness"
Nils Strodthoff,"Machine Learning, Deep Learning, Biomedical Data Analysis"
Tsutomu Kobayashi,"Theoretical Physics, Cosmology, Gravity"
Saurav Manchanda,"Product search, Information retrieval, Machine learning, Graph Neural Networks"
George Karypis,"Data mining, Parallel computing, Recommender systems, Graph machine learning, Chemical informatics"
Hanan Hindy,"Cyber Security, Intrusion Detection Systems, Artificial Intelligence, Machine Learning, IoT Security"
David BROSSET,"computer security, maritime cybersecurity, computer and network security"
Ethan Bayne,"Digital Forensics, Computer Security, Parallel Processing, Pattern Matching, Network Forensics"
Amar Seeam,"Cybersecurity, Computer Networks, Internet of Things"
Xavier Bellekens,"Maritime Cybersecurity, Cyber Deception, Maritime Cyber Security, Intrusion Detection Systems, Cyber Situational Awareness"
Mei-Xiang Zhao,fail
Lukas Kranz,"Semiconductors, Power Electronics, Photovoltaics"
Leonhard Rannabauer,High Peformance Computing
Michael Bader,"Neighborhood change, Segregation, Health disparities, Food Deserts"
Alberto Giaretta,"Cybersecurity, Security, Internet of Things (IoT), Bio-inspired Nanonetworks"
Stefano Pepe,oncology
Nicola Dragoni,"Cybersecurity, Pervasive Computing"
Maulik Parmar,fail
Susheela Devi V,"artificial intelligence, machine learning, deep learning, soft computing"
Iskander Kalimullin,fail
Hans Schoutens,
Frederik Kratzert,"Machine Learning, Deep Learning, Hydrology"
Mathew Herrnegger,"hydrology, water resources, water balance, machine learning, erosion"
Daniel Klotz,"Earth Science, Hydrology, Time Series, Machine Learning, Model-fitting"
Sepp Hochreiter,"Machine Learning, Deep Learning, Artificial Intelligence, Neural Networks, Bioinformatics"
Yanhong A. Liu,"Languages and Algorithms, Design and Optimization"
Andrea Morichetta,"Deep Learning, Computing continuum, Unsupervised Learning, Interpretability, Security"
Martino Trevisan,"Network Measurements, Online Social Networks, Data Privacy"
Luca Vassio,"Internet measurements, Social networks, Big data & ML, Mobility and transportation, Cybersecurity and privacy"
Dorian Florescu,neuromorphic computing
Shengcai Liao (¡Œ §≤≈),"Face Recognition, Pedestrian Detection, Person Re-identification, Image Generation, Digital Human"
"Ling Shao, Fellow of IEEE/IAPR","Computer Vision, Generative AI, Multimodal AI, Vision and Language, AI for Healthcare"
Alain Tchagang,"Machine Learning, Artificial Intelligence, Signal Processing, Bioinformatics, Computational Physics"
Julio J. Valdes,"Artificial intelligence (machine learning, computational intelligence). Data Science (pattern recognition, data visualization)."
Zhi Hao Jiang,"Electromagnetics, microwave, millimeter-wave, antennas"
Hao-Yu Zhao,"Stretchable electronics, Electro-catalysis, Artificial skin"
Rohit Agrawal,"Industry 4.0, Circular Economy, Additive Manufacturing, Sustainable Manufacturing, Lean Manufacturing"
Yi-Hsiu Cheng,"Internet Marketing, e-Commerce"
Salil Vadhan,"theoretical computer science: computational complexity, cryptography, and data privacy"
Laura Giordano,"Artificial Intelligence, Computational Logic, Nonmonotonic Reasoning, Description Logics"
Alberto Policriti,"Computer Science, Computational Logic, Computational Biology"
Christian Schaffner,"Quantum Cryptography, Cryptographic Protocols, and (Quantum) Information Theory"
Yusuke Ujitoko,"Haptics, VR, HCI"
Jason Castiglione,fail
Peter-Michael Seidel,fail
Tullio Traverso,"Fluid dynamics, active matter, data assimilation, nonlinear dynamical systems"
Richard Comploi-Taupe,Knowledge Representation and Reasoning
Antonius Weinzierl,"Artificial Intelligence, Answer Set Programming, Logic Programming, Knowledge Representation, Multi-Context Systems"
Gerhard Krieger,"SAR, interferometry, radar, neuroscience, signal processing"
Eliseo P. Vergara,fail
Alexander Wittig,"dynamical systems, numerics, differential algebra, astrodynamics"
C®¶sar F®¶lix Cayo-Rojas,Estomatolog®™a
Etienne Bamas,algorithms
Morten Mossige,
Hein Meling,"Distributed Systems, Fault Tolerance, Security, Cloud Computing"
Mats Karlsson,Pharmacometrics
Alberto Leporati,Natural Computing - Unconventional Computing - Membrane Computing - Theoretical Computer Science
Luca Manzoni,"Evolutionary Computation, Genetic Programming, Cellular Automata, Natural Computing"
G®πnter Klambauer,"machine learning, chemoinformatics, deep learning, drug design, bioinformatics"
Devsi Bantva,"Graph Theory, Graph Labeling, Distance Two Labeling, Radio Labeling"
Denis I Saveliev,"mathematical logic, set theory, model theory, theory of ultrafilters, cardinal arithmetic"
Marijn van Knippenberg,fail
Vlado Menkovski,"Scientific Machine Learning, Deep Geometric Learning, Generative AI, Data Driven Simulation"
Sergio Consoli,"Data Science, Operational Research, Artificial Intelligence, Knowledge Engineering, Optimization"
Alexandros A. Voudouris,"Computer Science, Algorithmic Game Theory, Computational Social Choice, Artificial Intelligence"
Quentin Roy,Human Computer Interaction
Yves Guiard,"Human movement, Human-computer interaction"
Gilles Bailly,"HCI, Decision making, Skill acquisition, Command Selection, User expertise"
eric lecolinet,Human-Computer Interaction
Olivier Rioul,Math®¶matiques Appliqu®¶es
Janosch D?cker,"Computational Complexity, Algorithms, Mathematical Phylogenetics"
Simona Bauer-Gogonea,"Materials Science, Soft Matter, Engineering, Physics"
Charles Semple,"combinatorics, phylogenetics, matroid theory"
Chaitanya Bapat,"Computer Vision, Machine Learning, Internet of Things"
Yuki Ban,"VR, HCI, Pseudo-haptics, Cross-modal, Biosignals"
Tarun Yadav,"Drug Delivery, Bio-Sensor, Spectroscopy, Neurotransmitters"
Koustav Sadhukhan,"Cybersecurity, Reverse Engineering, OS Security, Browser Security, Traffic Quality"
Ivan Perez,Ingenier®™a
Montserrat San-Mart®™n,"Estad®™stica, Astrodin®¢mica, Educaci®Æn m®¶dica"
MAR?A DEL ROSARIO LUCAS L?PEZ,Microbiolog®™a
Vyacheslav Gritsenko,fail
Yan Zhao,"Chemistry, Materials, Computational Chemistry"
Shan-Lu Liu,Virology
Chunhua Liu (¡ı¥∫ª™),"Electric Machines, Electric Vehicles, Power Electronics, Renewable Energy Systems, Microgrids"
Ruoyao Yang,fail
Dong Yu (”·∂∞),"automatic speech recognition, speech processing, natural language processing"
Andrea Arcuri,"Software Testing, SBSE, Search-Based Software Engineering, Fuzzing, REST"
Giancarlo Mauri,"Computer Sciences, Natural Computing, Bioinformatics, Systems Biology"
Antonio E. Porreca,"natural computing, computational complexity, computability, discrete dynamical systems, theoretical computer science"
Claudio Zandron,"Natural Computing, Membrane Computing, Theoretical Computer Science"
Matheus Henrique Junqueira Saldanha,"Machine Learning, Time Series Forecasting, Statistical Learning Theory, Dynamical Systems, Nonparametric Inference"
Paulo Sergio Lopes de Souza,"Parallel Computing, High Performance Computing, Software Testing"
Maria Kyropoulou,
Roni Permana Saputra,"Autonomous Robot Design, Intelligent Mobile Robot, Robot Navigation, Robot Perception, Robot Control"
Petar Kormushev,"Robot Intelligence, Robot Learning, Reinforcement Learning, Machine Learning, Robotics"
Elias J??saari,"Machine Learning, Systems"
Ville Hyv?nen,
Teemu Roos,"Machine Learning, #UnivHelsinkiCS"
Daniele D'Angeli,"Combinatorics, Group theory, Graph Theory, Automata Theory"
Emanuele Rodaro,"Algebra, Combinatorics, Automata Theory, Formal Language"
Masood Masjoody,
Ladislav Stacho,"graph theory, networking, computational biology"
Erik D. Demaine,fail
Ganesh Baleri,fail
Shivani Inamdar,"Career Advancement of Women, Generation Y, Work Life Balance"
Anant V Nimkar,fail
Markus Schmidmeier,"representations of finite dimensional algebras, invariant subspaces, harmony theory"
Liudmyla Nechepurenko,fail
V®™ctor Oth®Æn Serna Radilla,Odontolog®™a
Zhimin Huo,"Artificial Intelligence, Pattern Recognition, Computer-Aided Diagnosis, Medical Imaging and Physics"
William James Sehnert,"medical imaging, mathematics"
Arash Atashpendar,fail
Guru Vamsi Policharla,"Cryptography, Security, Privacy"
Peter Browne R?nne,"Cryptography, E-Voting, Quantum Cryptography"
Peter Y. A. Ryan,fail
Takao Murakami,"Differential Privacy, Privacy-Preserving Data Analysis, Privacy-Preserving Machine Learning"
Mauro Lucci,"algoritmos de optimizaci®Æn, metaheur®™sticas, problemas de ruteo de veh®™culos"
Yuriy Kochura,"Machine Learning, Deep Learning, Artificial Intelligence, Computer Science"
Grigor Aslanyan,"Physics, Mathematics, Statistics, Machine Learning, Information Retrieval"
Utkarsh Porwal,"Applied Machine Learning, Search, Information Retrieval, Pattern Recognition"
Itsuki Noda,"AI, Social Simulation, Robotics, Multiagent"
Tomio Kamada,fail
Quoc-Hung Ngo,"Knowledge Management, Natural Language Processing, Ontology, Data Analytics"
Nhien-An Le-Khac,"Digital Forensics, Cybersecurity, AI Security, AI Forensics, Knowledge Engineering"
Mohand Tahar Kechadi,"Big Data Analytics, Data Science, Distributed Systems, Digital Forensics, Cloud Computing"
Olga Parshina,bilingualism reading eye-tracking
Anton Andreychuk,"MAPF, artificial intelligence, heuristic search, pathfinding"
Natalia Soboleva,"coatings, laser cladding, thermal spraying, microstrusture, tribology"
ß¨ß‡ßﬂß„ß‰ß—ßﬂß‰ß⁄ßﬂ ß≥ß÷ß‚ß‘ß÷ß÷ß”ß⁄ßÈ ß¡ß‹ß‡ß”ß›ß÷ß” (Konstantin Yakovlev),"ß™ß„ß‹ßÂß„cß‰ß”ß÷ßﬂßﬂßÌß€ ß⁄ßﬂß‰ß÷ß›ß›ß÷ß‹ß‰, ß‚ß‡ß“ß‡ß‰ß‡ß‰ß÷ßÁßﬂß⁄ß‹ß—, ß·ß›ß—ßﬂß⁄ß‚ß‡ß”ß—ßﬂß⁄ß÷ ß‰ß‚ß—ß÷ß‹ß‰ß‡ß‚ß⁄ß⁄, Artific"
Ansis Rosmanis,Quantum computation and quantum information
Dylan H. Hendrickson,fail
"Jason Paul Lynch, PhD","biotechnology, microbiology, pharmacology, inflammatory diseases, cancer"
Yucheng Tang,"3D Computer Vision, Vision-Language Model, Healthcare AI, Accelerated Computing"
Gareth Funka-Lea,"Medical Image Analysis, Computer Vision"
Peng Li,renewable energies and transportation systems
Yuquan (Bill) Du,"Logistics and Supply Chain Management, Machine Learning, Optimization, Simulation"
Jiawei He,"Public Health, Forecasting, COVID, Machine Learning"
Xiangyu Zhu,"computer vision, face recognition, 3D face"
Ya?l Balbastre,"Medical Image Computing, Medical Image Analysis"
Parashkev Nachev,
Soheil Esmaeilzadeh,
Dimitrios Ioannis Belivanis,fail
Maciej Zamorski,"Machine Learning, Deep Learning, Generative Models"
Maciej Zieba,"Generative models, 3D point clouds, Representation Learning, Machine Learning"
Yohsuke Murase,"evolutionary game theory, complex systems, complex network, computational social science"
Hiroyasu Matsushima,fail
Apoorva Bharthur Sanjay,"Computational Biology, Neurodegenerative diseases, Precision Medicine"
Enrico Amico,"Neuroscience, Brain Connectivity, Network Science, Brain Networks, Complex systems"
Shannon L. Risacher,fail
John William Draper (deceased),
Mario Dzemidzic,neuroimaging
Andrew Saykin,"Neuroscience, Neuroimaging, Genetics, Cognition, Alzheimer's disease"
Liana Apostolova,
Andrea Loreggia,"Artificial Intelligence, Preference Aggregation, Metric Learning, Ethics, Deep Learning"
Nicholas Mattei,"Artificial Intelligence, Computational Social Choice, Algorithms, Preferences, Decision Making"
Francesco Rossi,"Farmacologia cardiovascolare, Farmacologia del dolore, Farmacologia dell°Øapparato respiratorio, Farmacologia Clinica, Farmacovigilanza e Farmacoepidemiologia"
K. Brent Venable,"Artificial Intelligence, Preferences, Planning and Scheduling, Computational Social Choice"
ßÆß⁄ßÁß—ß⁄ß› ß≤ßÌß“ß—ß‹ß‡ß”,ßﬁß—ß‰ß÷ßﬁß—ß‰ß⁄ßÈß÷ß„ß‹ß—ßÒ ß›ß‡ß‘ß⁄ß‹ß—
Dmitry Shkatov,"logic, logic in computer science"
Maxime Devanne,"Machine Learning, Time Series, 3D Human Motion, Computer Vision, Shape Analysis"
Sao Mai Nguyen,"Cognitive Developmental Robotics, Intrinsic Motivation, Active Imitation Learning, Assistive Robots"
"Bao-Jie He, PhD (∫Œ±¶Ω‹)","Climate, buildings, cities, carbon, heat"
Alexander Kurz,"logic, category theory, theoretical computer science, programming languages, formal methods"
Alessandra Palmigiano,logic
Lakshmi Anantharamu,fail
Max Hutchinson,Computational Physics
Fiona Katharina Ewald,"Interpretable Machine Learning, Explainable AI"
Ludwig Bothmann,"Statistics, Fairness-aware ML, Interpretable ML, Causal Inference, Computer Vision"
Marharyta Domnich,"Explainable AI, Computer Vision, Deep learning"
Raul Vicente,"Neuroscience, Deep Learning, Artificial Intelligence, Dynamical Systems, #unitartucs"
J. Joseph Cronin Jr.,"service marketing, marketing, sports marketing, marketing strategy, customer satisfaction"
"Henry E. Wang, MD, MS","Airway management, Resuscitation, Sepsis"
Amirul Khan,"Computational Fluid Dynamics, Turbulent Dispersion, Numerical Optimisation, Lattice Boltzmann Method, Data Assimilation"
Peter K Jimack,Scientific Computing
Kilian M. Pohl,Computational Neuroscience
Ehsan Adeli,"Computer Vision, Computational Neuroscience, Precision Healthcare, Ambient Intelligence"
Diana Otero Svaldi,"Alzheimer's Disease, Neurodegeneration, Neuroimaging"
Joaqu®™n Go?i,"computational neuroscience, complex networks, complex systems, information theory, brain"
Yucheng Chu,
Andrew Taylor,"Research, Population, Migration, Demography, Indigenous"
Ah-Reum Han,
Hang Lee,"Biostatistics, Clinical Research"
Afifa GHENAI,"Cybersecurity, Artificial Intelligence, Internet of Things"
Mohamed Youcef Badaoui,fail
Ben Mansour Mohamed,Biochemistry of polysaccharides  and hemostasis
P.Suvarnalatha devi,
K. Sai Manogna,Soil and Water Engineering
S. Sphoorthy Reddy,fail
Dr Meenakshi Sharma,Management
Paula M. Pickering,"Politics of Southeastern Europe, Local Governance, Civil Society, Information and Accountability"
Lawrence S. Moss,"logic, theoretical computer science, linguistic semantics, cognitive science"
Daniel Schwencke,fail
Joost de Winter,"human factors, human-robot interaction, cognition, transportation, applied statistics"
Jan J. M. Rutten,fail
Andrew D Gordon,"Programming Languages, Security, Probabilistic Programming, Spreadsheets"
Michael  E Greenberg,
James Margetson,fail
Jurgen Van Gael,Machine Learning
?ukasz Mikulski,Theoretical Computer Science
Leonardo I. L. Oliveira,fail
Takakazu Mori,fail
Yoshiki Tsujii,fail
Mariko Yasugi,fail
Marta Bilkova,"Logic, Computer Science"
Xiaoxia Wang,nanophotonics
Jakob Nordstr?m,"Computational complexity, combinatorial optimization, proof logging, certifying algorithms"
Danilo Pianini,"Aggregate Programming, Pervasive Computing, Simulation, Software Engineering"
Kaiqi Yang,"birational geometry, equivariant geometry"
Min-Zu Wang,experimental particle physics
"Dai, Shifeng","Coal Geology, Coal Geochemistry, Critical Minerals"
Alexander H. Berger,
Nicolas Stucki,"Compilers, Metaprogramming, Programming languages, Scala"
Laurin Lux,
Hongzhi Wen,
Yasemin Copur-Gencturk,"mathematics education, teacher education, teacher learning, teacher knowledge"
Jiliang Tang,"Trustworthy AI, Graph Neural Networks, Feature Selection, Recommendations"
Hui Liu ¡ıª‘,"wireless communications, multimedia signal processing, VLSI"
GILBERT Valentin,Quantum information
Stephen L. Johnson,"adult stem cells, regeneration, zebrafish, melanocytes"
Eric Guiffo Kaigom,fail
Dmitrii Zhemchuzhnikov,"Deep learning, Geometric deep learning, Structural Bioinformatics"
Sergei Grudinin,"structural bioinformatics, machine learning, Fourier analysis, structural chemoinformatics"
Joao Gama,"Data Mining, Machine Learning, Data Stream Mining, Concept Drift"
R®¶my Bonnet,"climate change, climate variability, extremes"
Daniel Rueckert,"Machine Learning, Medical Image Computing, Biomedical Image Analysis, Computer Vision"
Ulrich Bauer,"Applied Topology, Topological Data Analysis, Computational Topology, Persistent Homology"
Johannes C. Paetzold,"Machine Learning, Geometric Deep Learning, Generative Models, Biomedical Image Analysis"
Alan Perotti,"explainable artificial intelligence, xai, computer vision, neuroscience"
Vali Tawosi,"Software Engineering, LLM for SE, Machine Learning"
Salwa Alamir,"AI for Software Engineering, AI for Biomechanical Engineering"
Xiaomo Liu,"Data Mining, Text Mining, NLP, Machine Learning, AI for Finance"
Harsh Lunia,Scene Text Recognition
Ajay Mandal,"Enhanced Oil Recovery, Gas Hydrates, Surfactant, Microemulsion"
Emad Efatinasab,"Security, Energy informatics, Generative  networks, Adversarial Machine Learning, Optimization"
Francesca Marchiori,
Alessandro Brighente,"wireless network security, cyber-physical systems security, internet of things security"
Mirco Rampazzo,"Control Systems Engineering, HVAC&R, Industrial AI"
Mauro Conti,"Security, Privacy"
Huaiwen Zhang,
Yu-Hung Chen (Íêÿπ∫Í),"Physical Chemistry, Quantum Mechanics, Quantum Field Theory, Vibration/Rotation Spectroscopy, Nanomedicine"
Hector Bello Martinez,"High Energy Physics, Particles and Fields Physics, Nuclear Physics, Monte Carlo generators, Quantum Chromodynamics"
Enrique S. Quintana-Ort®™,
Erik Wittern,"APIs, Web, Software Engineering"
Alan Cha,"APIs, Software Engineering, GraphQL"
Jim A. Laredo,fail
Wishnu Prasetya,"program verification, software testing, software engineering"
Tr?n L®∫ Trung Minh,
Bj?rn Barz,"Machine Learning, Computer Vision, Image Retrieval, Active Learning"
Christoph K?ding,
Joachim Denzler,"Computer Vision, Machine Learning"
Zilong Lin,"Data-driven security, Cybercrime"
Pei-Yong Shi,"Vaccine and antiviral R&D, Virology, Diagnostics"
Zhixue Zhang,"social psychology, organizational behavior"
Vincent Buergin,fail
Suprosanna Shit,"Machine Learning, Medical Imaging, Computer Vision, Signal Processing"
Lee Ann Banaszak,"Comparative Politics, Women and Politics, Social Movements, Voting Rights"
Mikhail Mandrykin,fail
Alexey Khoroshilov,"Computer Science, Formal Methods, Safety Critical Systems, Software Engineering Education"
Irene Dios,"Educaci®Æn, formaci®Æn, desarrollo competencial, burnout, engagement"
Gherardo Varando,"Probabilistic graphical models, Causal discovery, Causality"
Concha Bielza,"Machine Learning, Bayesian networks, Computational Neuroscience, Industry 4.0, Influence Diagrams"
Pedro Larra?aga,"Bayesian Networks, Feature Selection, Estimation of Distribution Algorithms, Industry 4.0"
Mat®≤? Mihal®¢k,"Algorithms, Combinatorial Optimization, Algorithmic Graph Theory, Algorithmic Game Theory"
Gregor Ulm,
C. V. Jawahar,Computer Vision
Cristian Ramirez,food science and technology
Adri®¢n Castell®Æ,"Code Auto-generation, Programming Models, High Performance Computing, Lightweight threading, DNN"
Babak Salimi,"Data Management, Data Cleaning, Data-centric AI, Responsible Data Science"
Haoyue Ping,fail
Julia Stoyanovich,"responsible AI, data management, algorithmic ranking, AI ethics, AI policy"
Bill Howe,"Databases, Fairness, Machine Learning, Visualization, Scientific Data Management"
Gang-Ding Peng,Photonics
Costis Melolidakis,fail
Stefanos Leonardos,"game theory, artificial intelligence, cryptoeconomics, machine learning"
Constandina Koki,"Bayesian Statistics, MCMC, Statistical Modeling, Time series, Hidden Markov Models"
Leo Cazenille,"Machine Learning, Optimization, Collective Adaptive Systems, Swarm Robotics"
Nicolas Bredeche,"Evolutionary Robotics, Embodied Evolution, Swarm Robotics, Collective Adaptive Systems, Collective behaviours"
Jos®¶ Halloy,fail
Evgeniy Martyushev,"Computer vision, structure from motion, minimal problems"
Karlis Freivalds,
Burak Satar,"Video Understanding, Machine Learning, Causality"
Ahmet Emir Dirik,"media forensics, multimedia forensics, signal processing, pattern recognition, machine learning"
Denis Efremov,"vehicle control, industrial automation, artificial intelligence"
Jie Luo (¬ﬁΩ‹),"Metamaterial, Photonic crystal, Plasmonics"
Bruno Madore,fail
Lapo Cioni,"permutation, sorting algorithm, combinatorics, enumerative problems"
Luca Ferrari,"Regional Geology, Tectonics, Geodynamics, Energy"
Blake E. Zimmerman,fail
Sarang Joshi,"Computational Anatomy, Medical Imaging, Computer Vision"
Meredith Evans Seeley,"Marine Science, Marine Biogeochemistry, Environmental Chemistry, Marine Pollution, Microplastics"
Jason R.C. Nurse,"Cyber Security, Privacy, HCI, Computational Social Science, Cyberpsychology"
Georg L. Grob,fail
Miguel ?ngelo Cardoso,"Materiais Dent®¢rios, Periodontologia, Cirurgia Oral, Cancro Oral"
C. H. Bryan Liu,"Experimentation, A/B Testing, Machine Learning, Social Network"
Emil K Gustavsson,
Mats Jirstrand,"data analysis, system identification, machine learning, applied artificial intelligence, pharmacometrics"
Alfonso Rodriguez-Herrera,"Pediatrics, Celiac disese, Food allergy, Endoscopy"
Matthew Wicker,"Computer Science, Machine Learning, Formal Methods, Verification, Computational Biology"
Wenjie Ruan,"AI Safety, Robust Deep Learning, Automated Verification, Health Data Analytics, Data Modeling"
Xiaowei Huang,"AI Safety and Security, Verification, Trustworthy AI, Formal Methods, Explainable AI"
Bernard Berthomieu,"Computer Science, Formal Methods, Petri Nets, Time Petri Nets, Software Engineering"
Didier Le Botlan,fail
Abdulaziz M. Alayba,fail
Vasile Palade,"Machine Learning, Computer Vision, Natural Language Processing"
Prof Dr Rahat Iqbal,"Big Data Analytics, AI, Digital Innovation"
Chairi Kiourt,"Artificial Intelligence, Human-Computer Interaction, Multi Agent Systems, Reinforcement Learning, Augmented and Virtual Reality"
Dimitris Kalles,"Artificial Intelligence, Machine Learning, Education"
Panagiotis Kanellopoulos,"Theoretical Computer Science, Algorithmic Game Theory, Algorithms, Artificial Intelligence"
Jans Glagolevs,fail
Frank Preiswerk,"Computer Vision, Machine Learning, Robotics, Medical Imaging"
Cheng-Chieh Lin,
Andreas Niggl,fail
Ernst Rank,"Finite Element Methods, Computational Engineering, Computational Mechanics"
Catherine N. Mulligan,environment
Andrey K. Gorshenin,fail
Victor Yu. Korolev,fail
Evgenii Tsymbalov,"Machine Learning, Uncertainty Estimation, Deep Learning, Physics-Informed Networks"
Maxim Panov,"Machine Learning, Statistics"
Alexander Shapeev,"Applied Mathematics, Numerical Analysis, Scientific Computing, Materials Science"
David G. Kugler,"Immunoregulation, Immunotherapy, Cell Therapy, Infectious Disease, Functional Genomics"
Alexander Distergoft,fail
Arjan Kuijper,"Computer Vision, Pattern Recognition, Visual Computing, Mathematical Models, Scale Space"
Duncan A. Little,fail
Benjamin Paul Chamberlain,"Machine Learning, Drug Discovery, Graphs"
Min Wu,"Microbiology, lung infection, lung biology, nanotechnology, cancer"
Newton M A Hakim,"Artificial Intelligence, Machine Learning, Data Science, Bioinformatics, Education Research"
M. M. A. Polash,fail
Abdul-Sattar Nizami,"Waste biorefinery, Waste-to-energy, Biofuels, Circular economy, Bioeconomy"
Eric M®πller-Budack,
Kader Pustu-Iren,
Sebastian Diering,fail
Kevin D Osborn,"Superconducting Devices, Quantum Computing, Two Level Systems, Reversible Logic"
Waltraut Wustmann,fail
Ya?l Balbastre,"Medical Image Computing, Medical Image Analysis"
kevin Bronik,"Quantum and classical mechanics, machine learning artificial intelligence"
Isabel Funke,"medical image processing, surgical data science, machine learning"
Alex Janke,Health Services Research
Soeren Torge Mees,
Ralf-Peter Mundani,HPC - Data Science - Numerical Simulation
Alexander D®πster,"Finite Element Analysis, Fictitious Domain Methods, Coupled Problems, Multi-scale Methods"
Jovana Kne?evi?,fail
Shreyas Badiger,fail
shrey baheti,"IoT, Blockchain, Python, Machine Learning"
J. A. Kropotina,fail
A. M. Bykov,fail
A. M. Krassilchtchikov,fail
K. P. Levenfish,fail
Aleksandr Chuklin,"Natural Language Processing, Large Language Models, Reinforcement Learning, Information Retrieval"
Aliaksei Severyn,"Large Language Models, Reinforcement Learning, Knowledge Distillation"
Johanne R. Trippas,"Information Retrieval, Conversational Interfaces, Spoken Interaction Design, Conversational Search"
Enrique Alfonseca,Natural Language Processing
Hanna Silen,"speech processing, voice conversion, text-to-speech"
Damiano Spina,"Information Retrieval, Text Analytics, Interactive IR, Evaluation, Human-AI Cooperation"
Anirban Mukhopadhyay,"Data mining, bioinformatics, evolutionary computation, crowdsourcing"
Majid Namazi,Machine Learning and Optimisation
Yuichiro Oyabu,fail
Florian Kauer,"Wireless Mesh Networks, Linux Audio"
Volker Turau,"Distributed Computing, distributed algorithms, fault tolerance, wireless sensor networks, self-stabilization"
Marko Smilevski,"Machine learning, Deep learning"
Ilija Lalkovski,fail
Gjorgji Madjarov,"Machine learning, Artificial intelligence, Pattern recognition"
Fran?ois Hernandez,"Natural Language Processing, Machine Translation, Speech Recognition, Deep Learning"
Tran B. Nguyen,"Hematology, HSC, Cancer Immunology, Cancer Genetics"
Sahar Ghannay,"Natural language processing & speech, representation learning"
Natalia Tomashenko,"Speech Recognition, Spoken Language Understanding, Speech Privacy, Anonymization"
Yannick Est®®ve,"Natural Language & Speech, Machine learning"
J®πrgen Weitz,
Stefanie Speidel,"Computer- and robotic-assisted surgery, Surgical data science"
Sebastian Bodenstedt,
Takumi Akazaki,fail
Shuang-Jiang Liu,"Microbiology, Microbiome"
Yoriyuki Yamagata,"Software Engineering, Theoretical Computer Science"
Yihai Duan,fail
Jianye Hao,"Multiagent Systems, Embodied AI"
Moreno Marzolla,"Performance Modeling, Parallel Computing, Complex Systems, Simulation"
?ngel Farguell Caus,fail
Paula C Bickford,Neuroscience
Ana Cort®¶s Fit®¶,fail
Phongpitak Trakuldit,fail
Fang Song,Electrocatalysts for energy conversion
Benjamin Hellouin de Menibus,"symbolic dynamics, ergodic theory, computability, stochastic processes"
Takeaki Uno,"algorithm, data mining, bigdata, bioinformatis, combinatorics"
Toru Takisaka,Formal verification
Prof. Jianjun Tang Ã∆Ω®æ¸,"Agricultural and Environmental Economics, Rural Development, Experiment Economics, Health Economics"
Hussein A. Abbass,"XAI, Artificial Neural Networks, Cognitive Engineering, Human-Machine Teaming, Human-Swarm Interaction"
